date,feriti_strada
gen-01,27874
feb-01,25240
mar-01,29910
apr-01,30674
mag-01,33630
giu-01,35483
lug-01,36136
ago-01,30027
set-01,31355
ott-01,31925
nov-01,31704
dic-01,29328
gen-02,28181
feb-02,24904
mar-02,30527
apr-02,30709
mag-02,34085
giu-02,34263
lug-02,36267
ago-02,30741
set-02,31635
ott-02,32537
nov-02,32464
dic-02,32178
gen-03,28305
feb-03,24847
mar-03,30607
apr-03,30576
mag-03,34753
giu-03,35608
lug-03,31378
ago-03,25884
set-03,28440
ott-03,30139
nov-03,27747
dic-03,28191
gen-04,25653
feb-04,24406
mar-04,26801
apr-04,28744
mag-04,32054
giu-04,32502
lug-04,33291
ago-04,26718
set-04,28511
ott-04,28936
nov-04,27743
dic-04,27820
gen-05,23483
feb-05,22314
mar-05,25373
apr-05,27027
mag-05,32561
giu-05,32194
lug-05,32883
ago-05,26951
set-05,27588
ott-05,28614
nov-05,28192
dic-05,27678
gen-06,24236
feb-06,22338
mar-06,25388
apr-06,27578
mag-06,30553
giu-06,31443
lug-06,32427
ago-06,26475
set-06,28323
ott-06,29215
nov-06,27749
dic-06,27230
gen-07,24866
feb-07,23168
mar-07,26995
apr-07,28178
mag-07,30057
giu-07,30508
lug-07,32751
ago-07,24523
set-07,27161
ott-07,27599
nov-07,25227
dic-07,24817
gen-08,23740
feb-08,23549
mar-08,25912
apr-08,25609
mag-08,28132
giu-08,27929
lug-08,29924
ago-08,24889
set-08,25568
ott-08,27149
nov-08,25045
dic-08,23299
gen-09,21442
feb-09,19945
mar-09,25122
apr-09,25245
mag-09,29409
giu-09,28319
lug-09,30741
ago-09,25159
set-09,26072
ott-09,26885
nov-09,24867
dic-09,24052
gen-10,22655
feb-10,20954
mar-10,24100
apr-10,26740
mag-10,27733
giu-10,28168
lug-10,30328
ago-10,24167
set-10,25551
ott-10,26827
nov-10,24974
dic-10,22523
gen-11,20306
feb-11,20163
mar-11,22323
apr-11,25842
mag-11,28212
giu-11,26793
lug-11,28064
ago-11,24599
set-11,25757
ott-11,25508
nov-11,22280
dic-11,22172
gen-12,20109
feb-12,16596
mar-12,21533
apr-12,20680
mag-12,24582
giu-12,26223
lug-12,26710
ago-12,22980
set-12,21909
ott-12,23352
nov-12,21532
dic-12,20658
gen-13,19363
feb-13,17208
mar-13,19908
apr-13,20494
mag-13,23009
giu-13,24693
lug-13,25029
ago-13,21339
set-13,22597
ott-13,22000
nov-13,21152
dic-13,20629
